billing_period,revenue,rent,electricity_billed,invoices,active_tenants,unpaid,collection_rate,revenue_at_risk,arpu,units,elec_cost,month_num,year,revenue_lag1,revenue_lag2,revenue_lag3,revenue_lag12,revenue_roll3,revenue_mom,tenants_lag1
2023-04,1711684.0,1579119.0,112315.0,123,122,4,0.967479674796748,32628.0,14030.196721311475,17358.0,199617.0,4,2023,,,,,,,
2023-05,1892954.76,1627046.0,214158.76,125,124,2,0.984,30867.0,15265.764193548388,20205.0,222255.0,5,2023,1711684.0,,,,,0.10590200060291499,122.0
2023-06,1556430.01,1347190.01,159740.0,121,121,6,0.9504132231404958,67555.0,12863.057933884298,18572.1,204293.1,6,2023,1892954.76,1711684.0,,,1720356.2566666666,-0.17777749215728744,124.0
2023-07,1651606.0,1448550.0,153556.0,135,132,2,0.9851851851851852,15191.0,12512.166666666666,17221.85,189440.35,7,2023,1556430.01,1892954.76,1711684.0,,1700330.2566666666,0.0611501894646711,121.0
2023-08,1976215.0,1783347.0,145618.0,146,139,8,0.9452054794520548,52996.0,14217.374100719424,24698.94,271688.34,8,2023,1651606.0,1556430.01,1892954.76,,1728083.67,0.19654142695049548,132.0
2023-09,2054833.33,1835775.0,192058.33,140,138,5,0.9642857142857143,61817.0,14890.0965942029,21067.02,231737.22,9,2023,1976215.0,1651606.0,1556430.01,,1894218.11,0.039782275713927895,139.0
2023-10,2021716.0,1793964.0,196252.0,139,138,9,0.935251798561151,104114.0,14650.115942028986,21264.23,233906.53,10,2023,2054833.33,1976215.0,1651606.0,,2017588.11,-0.0161167961977724,138.0
2023-11,1878425.0,1652324.0,196851.0,130,129,7,0.9461538461538461,94624.0,14561.434108527132,15232.92,167562.12,11,2023,2021716.0,2054833.33,1976215.0,,1984991.4433333334,-0.07087592916116803,138.0
2023-12,1833153.67,1624357.67,141296.0,127,126,7,0.9448818897637795,102060.0,14548.83865079365,,,12,2023,1878425.0,2021716.0,2054833.33,,1911098.2233333334,-0.02410068541464261,129.0
2024-01,1558787.33,1421553.33,103484.0,120,120,5,0.9583333333333334,43384.81,12989.894416666668,11401.91,125421.01,1,2024,1833153.67,1878425.0,2021716.0,,1756788.6666666667,-0.14966903456598912,126.0
2024-02,1865422.0,1736225.0,106697.0,137,137,2,0.9854014598540146,32941.0,13616.21897810219,16413.58,180549.38,2,2024,1558787.33,1833153.67,1878425.0,,1752454.3333333333,0.19671360172012675,120.0
2024-03,2099373.0,1910520.0,157353.0,144,144,2,0.9861111111111112,33294.0,14578.979166666666,21508.9,236597.9,3,2024,1865422.0,1558787.33,1833153.67,,1841194.11,0.12541451746575305,137.0
2024-04,2427919.0,2166077.0,207842.0,167,165,9,0.9461077844311377,72831.0,14714.660606060606,23794.75,261742.25,4,2024,2099373.0,1865422.0,1558787.33,1711684.0,2130904.6666666665,0.15649720178358018,144.0
2024-05,2612961.0,2311106.0,227093.0,176,174,11,0.9375,171163.0,15017.01724137931,29208.0,321288.0,5,2024,2427919.0,2099373.0,1865422.0,1892954.76,2380084.3333333335,0.07621423943714767,165.0
2024-06,2530116.0,2150796.0,284820.0,187,181,13,0.9304812834224598,99085.0,13978.54143646409,26568.0,292248.0,6,2024,2612961.0,2427919.0,2099373.0,1556430.01,2523665.3333333335,-0.03170541006926619,174.0
2024-07,2664562.0,2340029.0,252533.0,183,180,12,0.9344262295081968,117790.0,14803.122222222222,26347.0,302990.5,7,2024,2530116.0,2612961.0,2427919.0,1651606.0,2602546.3333333335,0.05313827508303959,181.0
2024-08,2674811.0,2352533.0,259278.0,183,183,8,0.9562841530054644,42418.0,14616.453551912567,26083.0,299954.5,8,2024,2664562.0,2530116.0,2612961.0,1976215.0,2623163.0,0.0038464107797078206,180.0
2024-09,2587072.0,2284507.0,257565.0,171,169,3,0.9824561403508771,24926.0,15308.118343195267,24461.24,281304.26,9,2024,2674811.0,2664562.0,2530116.0,2054833.33,2642148.3333333335,-0.032801943763503316,183.0
2024-10,2562051.0,2272518.0,253533.0,164,163,4,0.975609756097561,27121.0,15718.104294478528,22022.51,253258.865,10,2024,2587072.0,2674811.0,2664562.0,2021716.0,2607978.0,-0.009671551468223516,169.0
2024-11,2549298.29,2283311.29,227737.0,163,163,5,0.9693251533742331,12447.0,15639.86680981595,19600.89,225410.235,11,2024,2562051.0,2587072.0,2674811.0,1878425.0,2566140.43,-0.004977539479112614,163.0
2024-12,2477231.0,2221523.0,197208.0,161,161,1,0.9937888198757764,11323.0,15386.52795031056,16421.6,188848.4,12,2024,2549298.29,2562051.0,2587072.0,1833153.67,2529526.763333333,-0.028269461554457864,163.0
2025-01,2552490.0,2375262.0,159228.0,170,170,8,0.9529411764705882,100863.0,15014.64705882353,16692.2,191960.3,1,2025,2477231.0,2549298.29,2562051.0,1558787.33,2526339.763333333,0.030380291543259386,161.0
2025-02,2698118.0,2493015.0,175853.0,180,180,9,0.95,99486.0,14989.544444444444,18479.4,212513.1,2,2025,2552490.0,2477231.0,2549298.29,1865422.0,2575946.3333333335,0.05705330872990677,170.0
2025-03,2737400.0,2496132.0,203018.0,186,186,6,0.967741935483871,53257.0,14717.20430107527,26576.8,305633.2,3,2025,2698118.0,2552490.0,2477231.0,2099373.0,2662669.3333333335,0.01455903707695505,180.0
2025-04,2868547.0,2524570.0,294477.0,179,179,8,0.9553072625698324,108869.0,16025.402234636871,28861.3,331904.95,4,2025,2737400.0,2698118.0,2552490.0,2427919.0,2768021.6666666665,0.04790933002118791,186.0
2025-05,2944133.0,2606924.0,303459.0,177,177,8,0.9548022598870056,102597.0,16633.5197740113,28594.5,328836.75,5,2025,2868547.0,2737400.0,2698118.0,2612961.0,2850026.6666666665,0.026349925589505663,179.0
2025-06,3128749.0,2753009.0,299240.0,197,196,9,0.9543147208121827,51086.0,15963.005102040815,30189.4,347178.1,6,2025,2944133.0,2868547.0,2737400.0,2530116.0,2980476.3333333335,0.06270640626629298,177.0
2025-07,2989809.0,2621401.0,291908.0,195,192,8,0.958974358974359,61403.0,15571.921875,27432.0,315468.0,7,2025,3128749.0,2944133.0,2868547.0,2664562.0,3020897.0,-0.044407525180191865,196.0
2025-08,3096351.0,2757941.0,282160.0,203,199,8,0.9605911330049262,48529.0,15559.552763819096,36489.2,419625.8,8,2025,2989809.0,3128749.0,2944133.0,2674811.0,3071636.3333333335,0.03563505227256991,192.0
2025-09,3249240.0,2929716.0,281274.0,198,194,3,0.9848484848484849,36908.0,16748.659793814433,27052.9,311108.35,9,2025,3096351.0,2989809.0,3128749.0,2587072.0,3111800.0,0.04937715394669406,199.0
2025-10,3106707.0,2742600.0,291607.0,188,185,5,0.973404255319149,53354.0,16793.01081081081,21199.0,243788.5,10,2025,3249240.0,3096351.0,2989809.0,2562051.0,3150766.0,-0.04386656571998371,194.0
2025-11,2930340.0,2650535.0,224305.0,172,170,3,0.9825581395348837,46629.0,17237.29411764706,21828.5,251027.75,11,2025,3106707.0,3249240.0,3096351.0,2549298.29,3095429.0,-0.05676975652998495,185.0
2025-12,2711866.0,2429458.0,238158.0,170,166,5,0.9705882352941176,47114.0,16336.5421686747,13682.8,157352.2,12,2025,2930340.0,3106707.0,3249240.0,2477231.0,2916304.3333333335,-0.07455585358695582,170.0
2026-01,2580927.0,2399839.0,147338.0,171,167,10,0.9415204678362573,76922.0,15454.652694610779,13118.7,150865.05,1,2026,2711866.0,2930340.0,3106707.0,2552490.0,2741044.3333333335,-0.048283727883309924,166.0
2026-02,2742922.0,2570844.0,143578.0,175,171,3,0.9828571428571429,33618.0,16040.479532163743,16808.9,193302.35,2,2026,2580927.0,2711866.0,2930340.0,2698118.0,2678571.6666666665,0.06276620764554752,167.0
2026-03,2865242.0,2637539.0,183453.0,172,169,3,0.9825581395348837,15675.0,16954.094674556214,22181.4,255086.1,3,2026,2742922.0,2580927.0,2711866.0,2737400.0,2729697.0,0.04459477885262508,171.0
2026-04,2942092.0,2677202.0,244640.0,189,178,17,0.91005291005291,256656.0,16528.606741573032,25774.0,296401.0,4,2026,2865242.0,2742922.0,2580927.0,2868547.0,2850085.3333333335,0.026821469181311786,169.0
2026-05,3209053.0,2877437.0,286616.0,228,199,196,0.14035087719298245,2966495.0,16125.89447236181,31468.7,361890.05,5,2026,2942092.0,2865242.0,2742922.0,2944133.0,3005462.3333333335,0.09073849492130082,178.0
2026-06,3317353.0,2948705.0,328148.0,208,195,191,0.08173076923076927,3143000.0,17012.066666666666,31604.0,363446.0,6,2026,3209053.0,2942092.0,2865242.0,3128749.0,3156166.0,0.03374827402352043,199.0
2026-07,2967787.0,2580240.0,338047.0,175,175,173,0.011428571428571455,2938787.0,16958.782857142858,,,7,2026,3317353.0,3209053.0,2942092.0,2989809.0,3164731.0,-0.10537497818290664,195.0
