Model,RMSE,MAE,MAPE,R2,CV_r2
LinearRegression,61.33289593777849,51.26979780448921,1.1810478313363528,0.9997354730510996,0.9992300185101255
ExtraTrees,66.6030653616274,26.317509057970007,0.606610991881546,0.9996880597499394,0.910208872616051
Ridge,69.58333134286656,57.71187321780108,1.357224847549409,0.9996595185823816,0.9991563140826132
GradientBoosting,76.69507069766463,59.834539453655744,1.10179654294626,0.9995863644238289,0.9072789464962501
XGBoost,78.31351462716518,45.08550716914991,1.097354752771775,0.9995687228879943,0.8866205086577683
DecisionTree,91.31875100666166,45.740561594202944,1.1540510708393783,0.9994135879225401,0.928983305130689
RandomForest,157.9862828982556,46.98057862318809,0.9437316923286553,0.9982448196718662,0.9020537439860524
CatBoost,247.20568033216625,194.4791527462183,4.311599009988099,0.9957026584538976,0.8873938021003156
AdaBoost,564.9147964871803,458.9187027963174,9.156933080574808,0.9775586550870718,0.8738096381637664
LightGBM,1212.1339978623048,283.5025771118873,4.002068104575927,0.8966800361838153,0.8438639129359278
KNN,1599.5238115091472,1329.3734166666666,28.16835264097581,0.820086231782393,0.7787666233159819
SVR,3738.755583135194,3026.1132305342667,63.91492004037047,0.017037093034541928,-0.009104648291311569
